cloud,min_cloud_hei,rain,temp,visiblity,wind_dire,wind_spd,class
4,25,0,12.9,1000,8,21,0
4,25,0,12.9,1000,8,21,0
4,25,0,12.7,1000,9,19,0
4,25,0,12.7,1000,9,19,0
5,25,0,12.4,1000,9,18,0
5,25,0,12.4,1000,9,18,0
5,25,0,12.4,1000,9,18,0
2,25,0,12,1000,9,18,0
2,25,0,12,1000,9,18,0
2,25,0,12,1000,9,18,0
2,25,0,12,1000,9,18,0
2,25,0,12,1000,9,18,0
2,25,0,12,1000,9,18,0
3,25,0,10.9,1000,9,14,0
3,25,0,10.9,1000,9,14,0
3,25,0,10.9,1000,9,14,0
2,30,0,10.5,1000,11,10,0
2,30,0,10.5,1000,11,10,0
2,30,0,10.1,1000,11,9,0
2,30,0,10.1,1000,11,9,0
2,30,0,10.1,1000,11,9,0
2,30,0,10.1,1000,11,9,0
2,30,0,10.1,1000,11,9,0
2,30,0,10.1,1000,11,9,0
2,30,0,10.1,1000,11,9,0
2,30,0,10.1,1000,11,9,0
2,30,0,10.1,1000,11,9,0
4,30,0,10.3,1000,11,9,0
4,30,0,10.3,1000,11,9,0
5,35,0,10.2,1000,9,10,0
6,35,0,10.3,1000,9,11,0
7,35,0,10.9,1000,9,11,0
7,35,0,10.9,1000,9,11,0
8,30,0,11.7,1000,9,12,0
8,30,0,11.7,1000,9,12,0
8,30,0,11.7,1000,9,12,0
8,16,0,11.9,1000,9,14,0
8,16,0,11.9,1000,9,14,0
8,16,0,11.9,1000,9,14,0
8,17,0,12.4,1000,9,14,0
8,17,0,12.4,1000,9,14,0
8,15,0,12.1,1000,8,16,0
8,15,0,12.1,1000,8,16,0
8,15,0,12.1,1000,8,16,0
8,13,0,12.2,1000,8,16,0
8,13,0,11.9,1000,7,15,0
